InteractorA,InteractorB,Correlation,t-statistic,p-value,Bonferroni-adjusted p-value
D13627_at,D21262_at,0.869376361370087,0.878918152017383,2.94408941670099e-12,5.06098274053457e-05
D13630_at,D21262_at,0.830240488052368,0.838538750361506,2.08181916150352e-10,0.00357871292411005
D13636_at,D21262_at,0.86744499206543,0.876922635956806,3.74589248508528e-12,6.43930755206412e-05
D13641_at,D21262_at,0.833732187747955,0.842136655365059,1.49034562468842e-10,0.00256195122376113
D13645_at,D21262_at,0.839662849903107,0.848249809191645,8.29716295669414e-11,0.00142630853129067
D14658_at,D21262_at,0.879812061786652,0.889705551116194,7.47402140177655e-13,1.28480789687302e-05
D14710_at,D21262_at,0.800458610057831,0.807887639733422,2.73455125210376e-09,0.0470078001418592
D21260_at,D21262_at,0.800286293029785,0.807710481300273,2.77207634624688e-09,0.0476528683681092
D00723_at,D21852_at,0.857884049415588,0.867048443676593,1.17039711255984e-11,0.000201194962103912
D14710_at,D21852_at,0.833140790462494,0.84152720551625,1.57799551203652e-10,0.00271262414984896
D16562_at,D21852_at,0.931784629821777,0.94356128281084,0,0
D10202_at,D21878_at,0.913606941699982,0.924699561217682,3.10862446895044e-15,5.34382369465902e-08
D10923_at,D21878_at,0.807742655277252,0.815378294503505,1.51816759164092e-09,0.0260977806412663
D13626_at,D25215_at,0.923268735408783,0.934721470920554,4.44089209850063e-16,7.63403384951289e-09
D13630_at,D26068_at,0.824239552021027,0.832357414701039,3.6343039688802e-10,0.00624748336651049
D14663_at,D26068_at,0.852772891521454,0.861772739720832,2.08133510426478e-11,0.000357788081442045
AFFX-HUMTFRR/M11507_5_at,D26308_at,0.852200210094452,0.861181747294681,2.21702656233447e-11,0.000381113871869232
AFFX-HUMTFRR/M11507_M_at,D26308_at,0.942410409450531,0.954599889344631,0,0
AFFX-HUMTFRR/M11507_3_at,D26308_at,0.918842136859894,0.930128913752879,1.11022302462516e-15,1.90850846237822e-08
AB000584_at,D26308_at,0.906030237674713,0.91684589377517,1.24344978758018e-14,2.13752947786361e-07
D00726_at,D26308_at,0.91340833902359,0.924493637950644,3.10862446895044e-15,5.34382369465902e-08
D10495_at,D26579_at,0.887300729751587,0.897451944074125,2.58015830922886e-13,4.43537366656699e-06
D00763_at,D26598_at,0.865126192569733,0.87452720872471,4.9773518639995e-12,8.55622513853405e-05
D14658_at,D26598_at,0.849816799163818,0.858722399798083,2.87538881593719e-11,0.000494288423688261
AB002380_at,D28118_at,0.841195285320282,0.84982983119172,7.1045391791813e-11,0.00122129273524507
D00723_at,D28118_at,0.846344888210297,0.855140651819709,4.16644496681329e-11,0.000716225055761299
D14533_at,D28118_at,0.861399233341217,0.870677968579884,7.77489184144997e-12,0.000133652847620347
D00017_at,D28364_at,0.857903718948364,0.867068750344879,1.16775478176123e-11,0.000200740737089866
D28383_at,D28423_at,0.843072593212128,0.851765677856179,5.86140025404802e-11,0.00100759322569566
D14043_at,D28476_at,0.804998457431793,0.812555808387406,1.90042559466974e-09,0.0326689165068608
D21260_at,D28476_at,0.858475148677826,0.867658702926014,1.09343645249282e-11,0.000187965181442706
AFFX-HUMISGF3A/M97935_3_at,D28915_at,0.83091413974762,0.839232821065906,1.95296667726552e-10,0.00335721143196643
AB000115_at,D28915_at,0.806750655174255,0.814357931009489,1.64722990803057e-09,0.0283164026436964
AB003103_at,D29641_at,0.821964621543884,0.830014795072519,4.46465309167365e-10,0.00767487974762471
AF009301_at,D29641_at,0.86286997795105,0.872196838544969,6.53033183084517e-12,0.000112258467757087
AF015913_at,D29641_at,0.851560056209564,0.860521154918104,2.37845299011497e-11,0.000408863584912211
D13370_at,D29641_at,0.857453405857086,0.866603858229486,1.22961640869335e-11,0.000211374946242238
AF000231_at,D31764_at,0.872204720973969,0.881840980130902,2.05480077397624e-12,3.53226746216961e-05
D13636_at,D31764_at,0.820875287055969,0.828893183728724,4.92193397150231e-10,0.00846096003012597
D13645_at,D31764_at,0.813728868961334,0.82153718591563,9.18506604108416e-10,0.0157894187727106
D14663_at,D31767_at,0.84132444858551,0.849963013490085,7.01168012540165e-11,0.00120532997046574
D26068_at,D31767_at,0.864784777164459,0.874174546379114,5.18762810486351e-12,8.91769664130848e-05
AB000449_at,D31886_at,0.800730526447296,0.80816720020348,2.67629562955563e-09,0.0460063675814801
D13626_at,D31886_at,0.858606040477753,0.867793841140127,1.07704956064936e-11,0.000185148222952236
D25215_at,D31886_at,0.885693788528442,0.895789320431352,3.25961480029946e-13,5.60338084554246e-06
D29641_at,D31891_at,0.801803648471832,0.809270541599389,2.45746067939479e-09,0.042244525636371
D00760_at,D38048_at,0.854203522205353,0.863249224028984,1.77549086544104e-11,0.00030521249032045
D00763_at,D38048_at,0.816131055355072,0.824009401454604,7.46980255428298e-10,0.0128408266365732
D13630_at,D38048_at,0.85398805141449,0.863026837014955,1.81870074555945e-11,0.000312640405256026
D21262_at,D38048_at,0.864700138568878,0.874087121021269,5.24114085465044e-12,9.00968674919511e-05
D28423_at,D38076_at,0.813902795314789,0.821716168421131,9.04952113245372e-10,0.0155564127915557
D38047_at,D38076_at,0.821449100971222,0.829483988751265,4.67588856523093e-10,0.00803800020171064
AFFX-HUMTFRR/M11507_5_at,D38521_at,0.806551694869995,0.81415329059671,1.67431357667169e-09,0.0287819794660766
AFFX-HUMTFRR/M11507_M_at,D38521_at,0.803746044635773,0.811267847008245,2.10307815606825e-09,0.0361525780755105
D38449_at,D38522_at,0.82883483171463,0.837090596538323,2.37660557900199e-10,0.00408546009104072
D14533_at,D38549_at,0.896030128002167,0.906487469184068,6.75015598972095e-14,1.16037314512596e-06
D14694_at,D38550_at,0.833219408988953,0.841608222380842,1.5660739371981e-10,0.00269213058597995
D23662_at,D38551_at,0.802683353424072,0.810175081079857,2.2905974894627e-09,0.0393760946726704
D17400_at,D38552_at,0.82989239692688,0.838180121572501,2.1514656722843e-10,0.00369843747697196
D31763_at,D38552_at,0.842657685279846,0.851337809087386,6.11726225230314e-11,0.00105157671171963
AF000234_at,D38583_at,0.861300706863403,0.870576224167691,7.86570808486431e-12,0.000135214007542572
D10202_at,D38583_at,0.826216876506805,0.834393885143634,3.03183256278317e-10,0.00521181598133325
AF007875_at,D42054_at,0.836825907230377,0.845325240263766,1.10118802965076e-10,0.00189297702051139
D00723_at,D42054_at,0.837531328201294,0.846052393163027,1.0268630390442e-10,0.00176521001298902
D13636_at,D42054_at,0.804040372371674,0.81157051878193,2.05372452377617e-09,0.0353041735406618
D14658_at,D42054_at,0.825820446014404,0.833985573289801,3.14460013584039e-10,0.00540566700287393
D17400_at,D42054_at,0.809460163116455,0.817145078452854,1.31669763980824e-09,0.0226344485047578
D21262_at,D42054_at,0.808486521244049,0.816143476026852,1.4276273496705e-09,0.0245413652710784
D21852_at,D42054_at,0.805084884166718,0.812644692446329,1.88713333848511e-09,0.0324404184226941
D38552_at,D42054_at,0.812676310539246,0.820454076140509,1.00464925267829e-09,0.0172702381227037
D11094_at,D42063_at,0.812690556049347,0.820468734597421,1.00343466868935e-09,0.0172493590401253
D13641_at,D42063_at,0.819720923900604,0.827704712579174,5.45384182260022e-10,0.00937532643445138
D26068_at,D42063_at,0.837513625621796,0.846034144760017,1.02867048212829e-10,0.00176831706476577
AF009301_at,D42084_at,0.808003783226013,0.815646900524733,1.48579304415364e-09,0.025541251939603
D14694_at,D42084_at,0.814720690250397,0.822557869782891,8.43670466821322e-10,0.014502961924526
D14710_at,D42084_at,0.80083304643631,0.808272603601551,2.65463273585453e-09,0.045633975593284
D38524_at,D42084_at,0.830815017223358,0.839130691914962,1.97144744973343e-10,0.00338898046383118
D13641_at,D43636_at,0.811378121376038,0.81911831745516,1.12124132201075e-09,0.0192744926376225
D25278_at,D43642_at,0.828515827655792,0.836761968512579,2.44871234400534e-10,0.00420941389865526
AF015913_at,D43947_at,0.84766697883606,0.856504459180973,3.62159191524825e-11,0.000622563094461626
D13370_at,D43947_at,0.800423920154572,0.807851975013973,2.74206746198047e-09,0.0471370061647622
D13645_at,D43947_at,0.816922545433044,0.824824057948849,6.97340851729678e-10,0.0119875096009423
D14878_at,D43947_at,0.805321097373962,0.812887624529842,1.85124360285727e-09,0.0318234625260949
D00763_at,D43950_at,0.799951612949371,0.807366404170034,2.84632939440144e-09,0.0489293017298493
D14658_at,D43950_at,0.863297522068024,0.872638404315373,6.20503648463e-12,0.000106666537962319
D14710_at,D43950_at,0.807103633880615,0.814720993948727,1.6001806546484e-09,0.0275076111104928
AB003103_at,D43951_at,0.825620591640472,0.833779733539857,3.20292015132395e-10,0.00550592095240265
AF000231_at,D43951_at,0.862040936946869,0.871340649118833,7.20667969744682e-12,0.000123885101309895
AF007875_at,D43951_at,0.83872789144516,0.847285904921409,9.11390962698988e-11,0.00156670986483398
D00763_at,D43951_at,0.824944198131561,0.833083104957527,3.40786066033161e-10,0.0058582201635069
D13636_at,D43951_at,0.816020488739014,0.8238956022846,7.5417050382498e-10,0.0129644292786306
D13641_at,D43951_at,0.854608178138733,0.863666878370995,1.69693148421857e-11,0.000291707884440662
D14658_at,D43951_at,0.84040904045105,0.849019148893049,7.69486696583499e-11,0.00132277194720665
D21260_at,D43951_at,0.817716836929321,0.825641644130412,6.5062621956713e-10,0.0111844703122443
D21262_at,D43951_at,0.883321821689606,0.893335541138436,4.5807801996034e-13,7.87450591577254e-06
D38552_at,D43951_at,0.811982035636902,0.819739693659353,1.06552056067244e-09,0.0183166351424564
D42054_at,D43951_at,0.860423266887665,0.869670159809881,8.71969163540598e-12,0.000149894254635186
D42063_at,D43951_at,0.822350800037384,0.830412437059034,4.31227498154385e-10,0.0074129369611633
D43767_at,D49394_at,0.815351605415344,0.823207182441891,7.99060817513464e-10,0.0137361079562748
AF007875_at,D49489_at,0.856306135654449,0.865419515807051,1.40132350168187e-11,0.000240891938121379
AFFX-ThrX-5_at,D49493_at,0.80256575345993,0.810054157979338,2.31227725855376e-09,0.0397487767541529
D13643_at,D49493_at,0.867572247982025,0.877054109416944,3.68727270938507e-12,6.33853830525055e-05
D14874_at,D49817_at,0.846230089664459,0.85502223726892,4.21720436349915e-11,0.000724950756451292
D43948_at,D50063_at,0.82094407081604,0.828964002949819,4.89181584129028e-10,0.00840918601255858
D10522_at,D50402_at,0.802702486515045,0.810194754927431,2.28708829652646e-09,0.0393157705371916
D10923_at,D50402_at,0.940708041191101,0.952830730571536,0,0
D16626_at,D50402_at,0.941449224948883,0.953600963193986,0,0
D21260_at,D50640_at,0.805596530437469,0.813170897140571,1.81019665923543e-09,0.0311178525944014
AF009301_at,D50645_at,0.805261969566345,0.812826814505275,1.8601673534846e-09,0.031976864619284
AB002380_at,D50683_at,0.872500061988831,0.882146222065038,1.97797334067218e-12,3.40019867657304e-05
AF007875_at,D50683_at,0.833293795585632,0.841684878643634,1.55487178687963e-10,0.00267287373559455
D00723_at,D50683_at,0.915835499763489,0.927010490158748,1.99840144432528e-15,3.4353152322808e-08
D17400_at,D50683_at,0.835293710231781,0.843745970103055,1.28023147638601e-10,0.0022007583632222
D21852_at,D50683_at,0.853064477443695,0.862073658559156,2.01527683429958e-11,0.000346432456090895
D28118_at,D50683_at,0.845190346240997,0.853949789105921,4.70388172857383e-11,0.000808612133408104
D38552_at,D50683_at,0.838262259960175,0.846805882403299,9.5480512385393e-11,0.00164134017974682
D42054_at,D50683_at,0.830408871173859,0.838712234149174,2.04888994659314e-10,0.00352210656311591
D21255_at,D50810_at,0.808454394340515,0.816110427693323,1.43143141784208e-09,0.0246067584050333
D21260_at,D50911_at,0.801335990428925,0.808789704010472,2.55069831922583e-09,0.0438473101281609
D28476_at,D50911_at,0.799681425094604,0.807088635926976,2.90761748011903e-09,0.0499828632903698
AF005037_at,D50914_at,0.801798582077026,0.80926533233903,2.4584534408234e-09,0.0422615915190416
AF015913_at,D50914_at,0.847076594829559,0.855895429911124,3.85611542697006e-11,0.000662878427220903
AB000895_at,D50916_at,0.805694103240967,0.813271248438562,1.79585990522924e-09,0.0308713992626206
AF005037_at,D50916_at,0.8453369140625,0.854100962167936,4.63225013902502e-11,0.00079629843680884
AF015913_at,D50916_at,0.815789520740509,0.823657884540748,7.69398988964554e-10,0.0132262117503812
D11428_at,D50916_at,0.830482363700867,0.838787953578716,2.03467021009374e-10,0.00349766238672977
D13370_at,D50916_at,0.810008525848389,0.817709219136204,1.25780497128858e-09,0.0216220649228216
D13635_at,D50916_at,0.808521687984467,0.816179651468618,1.42347378329077e-09,0.0244699641524839
D13636_at,D50916_at,0.860640585422516,0.869894562259468,8.50031156574005e-12,0.000146123041913526
D13641_at,D50916_at,0.816539108753204,0.824429392573817,7.20992154867872e-10,0.0123940829756997
D13645_at,D50916_at,0.904723823070526,0.915492203106737,1.57651669496772e-14,2.71008201657708e-07
D14043_at,D50916_at,0.832610607147217,0.840980860534066,1.66063607309752e-10,0.00285468588575455
D21260_at,D50916_at,0.828837871551514,0.837093728119947,2.37593056340302e-10,0.00408429971789559
D21262_at,D50916_at,0.828587114810944,0.836835405656065,2.43242315178804e-10,0.00418141226249524
D28476_at,D50916_at,0.816524982452393,0.824414852799669,7.21877446707708e-10,0.0124093014221787
D29641_at,D50916_at,0.8264279961586,0.834611337002884,2.97332380938542e-10,0.00511123758536591
D43947_at,D50916_at,0.819444954395294,0.827420603558119,5.58869395206330e-10,0.00960714150632569
D43951_at,D50916_at,0.81292313337326,0.820708055936709,9.83799708365041e-10,0.0169118278675029
D14658_at,D55654_at,0.810593247413635,0.81831078891412,1.1977121516793e-09,0.0205890503644071
D14710_at,D55654_at,0.890281498432159,0.900536550695174,1.65201186064223e-13,2.83986059201879e-06
D43950_at,D55654_at,0.831554591655731,0.839892717167488,1.83738801950994e-10,0.00315852806699901
AB000895_at,D63476_at,0.824626088142395,0.83275549009935,3.50841133922586e-10,0.00603106995792757
AF000231_at,D63476_at,0.814087629318237,0.821906378095317,8.90751472581996e-10,0.0153122992911499
D11428_at,D63476_at,0.917141675949097,0.928365137065972,1.55431223447522e-15,2.67191184732951e-08
D13635_at,D63476_at,0.861214339733124,0.870487036856565,7.94608823184717e-12,0.000136595767669334
D13641_at,D63476_at,0.870378375053406,0.87995356129076,2.59436916394407e-12,4.45980257488543e-05
D13645_at,D63476_at,0.81737607717514,0.825290885020287,6.70298705429673e-10,0.011522646560727
D16227_at,D63476_at,0.802463412284851,0.809948925661319,2.33129915372388e-09,0.040075769143046
D17461_at,D63476_at,0.817539572715759,0.82545917715725,6.60791865669808e-10,0.0113592209810935
D21260_at,D63476_at,0.890682935714722,0.900952027229807,1.55431223447522e-13,2.67191184732951e-06
D28476_at,D63476_at,0.82270622253418,0.830778419828037,4.1763237312864e-10,0.00717923246591123
D43951_at,D63476_at,0.822471499443054,0.830536721622899,4.26565005540169e-10,0.00733278723977726
AB003103_at,D63480_at,0.801285088062286,0.808737368062218,2.56104293328008e-09,0.0440251373126515
D14658_at,D63480_at,0.81012088060379,0.817824809358004,1.24604482287793e-09,0.0214199042554357
AB001325_at,D63485_at,0.810563743114471,0.818280433879257,1.20067933373491e-09,0.0206400571615726
D14694_at,D63506_at,0.937678694725037,0.94968314685807,0,0
D38524_at,D63506_at,0.820211410522461,0.82820967960404,5.22161425209333e-10,0.0089761199023588
D38550_at,D63506_at,0.860036671161652,0.869270971335501,9.12248054873999e-12,0.000156818323336694
D42084_at,D63506_at,0.838742077350616,0.847300529520715,9.10096442652275e-11,0.00156448454396685
AB003103_at,D63875_at,0.846276819705963,0.855070439124494,4.19646539739915e-11,0.00072138566264357
AF009301_at,D63875_at,0.877990067005157,0.887821529827255,9.5812247025151e-13,1.64704280303241e-05
AF015913_at,D63875_at,0.816018879413605,0.823893945915165,7.5427553092311e-10,0.012966234727636
D13370_at,D63875_at,0.829441845417023,0.837715944094402,2.24483542865528e-10,0.00385894303865797
D14710_at,D63875_at,0.811148166656494,0.818881720678552,1.14316200949816e-09,0.0196513161824683
D29641_at,D63875_at,0.894651591777802,0.905060179119584,8.41549052665869e-14,1.44664941448269e-06
D42084_at,D63875_at,0.86557537317276,0.874991200178439,4.71267469492886e-12,8.10123672110308e-05
D50916_at,D63875_at,0.867951571941376,0.877446012558905,3.51785267582727e-12,6.04729991389164e-05
D31764_at,D63879_at,0.820704936981201,0.828717794129258,4.99726482416918e-10,0.00859045614631526
D11094_at,D63881_at,0.822247564792633,0.83030613625299,4.35252722752466e-10,0.00748213184397528
D42063_at,D63881_at,0.802947998046875,0.810447207668379,2.24249885327765e-09,0.0385492639174805
AB000449_at,D78275_at,0.837121069431305,0.845629490966918,1.06950004408191e-10,0.00183850437197819
